data-fid-start,data-fid-end,data-fid-today,data-fid-deviceid,data-fid-img,data-fid-imgtype,data-fid-imgtype_other,data-fid-obs,data-fid-gps,data-fid-gps-altitude,data-fid-gps-accuracy,data-meta-instanceID
17/09/20 07:42,17/09/20 07:43,17/09/20,355329114698347,https://drive.google.com/open?id=10972gyDa78-AQQH6kBPfnxwgKSwVGeKl,coccid, , ,"-3.3421699999999994,37.141105",963.8,4.6,uuid:45ca8cca-e11b-4ca0-bc6d-59852a1e5590
22/09/20 13:45,22/09/20 13:46,22/09/20,355329114698347,https://drive.google.com/open?id=1cYHtzMIPexkXDt40TqyYYT4OR857Tbkh,coccid, , ,"-3.3576616666666665,37.12889333333333",942.6,4.8,uuid:3d136058-9c20-479c-b875-b5626194ed02
22/09/20 13:47,22/09/20 13:47,22/09/20,355329114698347,https://drive.google.com/open?id=1rzyAp9Lrj5OwMwfLJpAiZK0wfdrTbBmF,coccid, , ,"-3.35764,37.12889666666667",942.6,5,uuid:a8984ce8-00fb-4bdf-9bf5-923c49d2f519
22/09/20 13:47,22/09/20 13:48,22/09/20,355329114698347,https://drive.google.com/open?id=1XAyu0-gjpKem7AEckOsIi1xnQ3ho-JXe,coccid, , ,"-3.357636666666666,37.12888833333333",942.6,5,uuid:0d62039b-7835-465d-a6ff-0719348adb11
22/09/20 13:48,22/09/20 13:48,22/09/20,355329114698347,https://drive.google.com/open?id=12iDumHi-NQ3Kmt-KO68zm4JNwA_QJLMl,coccid, , ,"-3.357628333333333,37.12889333333333",942.7,5,uuid:d55687e3-d587-4584-aa61-37289e59e7c2
22/09/20 13:48,22/09/20 13:49,22/09/20,355329114698347,https://drive.google.com/open?id=1e6cPixBEQaaRTTb2FKOJ0p9a6erySOzt,coccid, , ,"-3.357678333333333,37.12885166666667",942.7,4.8,uuid:56385cc6-332b-4681-b580-49500929bea0
22/09/20 13:52,22/09/20 13:53,22/09/20,355329114698347,https://drive.google.com/open?id=1iR-Em9lCr9hA0Tc956-n0mVfhnhZo0QD,coccid, , ,"-3.357476666666667,37.128820000000005",942.9,4.9,uuid:a1bbd104-23dd-4eb9-96a6-96b9bb768d23
22/09/20 13:53,22/09/20 13:53,22/09/20,355329114698347,https://drive.google.com/open?id=1gDVkO0aahoCzh70EkatfSQwJBIYQuvlH,coccid, , ,"-3.3577016666666673,37.12902166666667",943.7,4.9,uuid:401d2212-9763-4c3c-87a8-1c28a64dd0be
22/09/20 13:53,22/09/20 13:54,22/09/20,355329114698347,https://drive.google.com/open?id=1EISH9Ww0MMfz4g4Qlu5yZtQTIe60tuoT,coccid, , ,"-3.3576533333333334,37.128915",944.2,5,uuid:acd38031-9b0a-4c1c-9e1f-fc77f9602ee2
22/09/20 13:54,22/09/20 13:55,22/09/20,355329114698347,https://drive.google.com/open?id=18Ly-qvarHaL5sW-uTZT4DJlU99skj-BW,coccid, , ,"-3.3576516666666665,37.128845",940.9,4.9,uuid:6ea6fcd0-ecb5-4adc-9bb5-d4bd5af8eb2b
22/09/20 13:55,22/09/20 13:56,22/09/20,355329114698347,https://drive.google.com/open?id=1YWG7BbC6YtZn_jzDbvVAw0r9MgO_ToAU,coccid, , ,"-3.3575566666666665,37.12891833333333",944.5,4.8,uuid:14605a47-3f75-4a23-8203-06af4cc4c57d
22/09/20 13:56,22/09/20 13:56,22/09/20,355329114698347,https://drive.google.com/open?id=1ARv7LOjfZmxbJt0YsT8J6ICfNiYWsqbr,coccid, , ,"-3.357591666666666,37.12885333333334",946.1,4.8,uuid:1015d02a-69ef-4ba4-a85d-ecfe8c3173ef
22/09/20 13:57,22/09/20 13:57,22/09/20,355329114698347,https://drive.google.com/open?id=1HF8_8v5YcPc4HNfxncAqTp90K7MOw0O-,coccid, , ,"-3.3576233333333336,37.12883333333333",950.4,4.9,uuid:983fe83f-898b-4784-8aad-036b615d739b
22/09/20 13:57,22/09/20 13:58,22/09/20,355329114698347,https://drive.google.com/open?id=1vLCmQKjesDceiN5PCQqmLYT7y1u6ckfD,coccid, , ,"-3.3575783333333336,37.12887833333333",949.9,4.9,uuid:c562b576-e5bc-4d76-a77c-11c119b4bb9b
22/09/20 13:58,22/09/20 13:59,22/09/20,355329114698347,https://drive.google.com/open?id=1aC8vCH5VYWHp3MH609B6mFVSLcu0Vovq,coccid, , ,"-3.3575700000000004,37.128795",937.8,4.8,uuid:f4781dbc-5bf2-4c14-bc8d-3d841928eeef
22/09/20 13:59,22/09/20 14:00,22/09/20,355329114698347,https://drive.google.com/open?id=1fUmf5NGBJcidsZXWUts9Uf2sVDCmPl6h,coccid, , ,"-3.357546666666667,37.128771666666665",938.1,5,uuid:ee027c0e-a853-4847-b4ad-fc8d66a41ce3
22/09/20 14:00,22/09/20 14:01,22/09/20,355329114698347,https://drive.google.com/open?id=1CTUAQOTCNAZdFf9UIKrAcx9wLowjcwNd,coccid, , ,"-3.357541666666666,37.128705",943.1,5,uuid:71f19a8b-5489-4b42-a618-b01f40516cd2
